CustomerID,Recency_Days,Frequency,Monetary
12347.0,2.0,8,5633.32
12348.0,75.0,5,2019.3999999999999
12349.0,18.0,4,4404.54
12350.0,310.0,1,334.4
12351.0,375.0,1,300.93
12352.0,36.0,10,1889.21
12353.0,204.0,2,406.76
12354.0,232.0,1,1079.4
12355.0,214.0,2,947.61
12356.0,22.0,6,6373.68
12357.0,33.0,3,18287.66
12358.0,1.0,5,3887.07
12359.0,57.0,10,8714.89
12360.0,52.0,8,4212.89
12361.0,287.0,4,511.25
12362.0,3.0,11,5284.58
12363.0,109.0,2,552.0
12364.0,7.0,4,1313.1
12365.0,291.0,2,320.69
12366.0,633.0,1,500.24
12367.0,4.0,1,168.9
12368.0,628.0,1,917.6999999999999
12369.0,413.0,3,1791.15
12370.0,51.0,7,4320.31
12371.0,44.0,5,4067.38
12372.0,71.0,3,1298.04
12373.0,311.0,3,1127.65
12374.0,25.0,4,2989.22
12375.0,10.0,2,455.42
12376.0,389.0,2,503.15
12377.0,315.0,4,3426.32
12378.0,129.0,2,5416.32
12379.0,81.0,4,1618.27
12380.0,21.0,11,7888.0
12381.0,4.0,5,1803.96
12383.0,184.0,5,1839.31
12384.0,28.0,2,566.16
12385.0,379.0,1,1923.4
12386.0,337.0,2,660.8
12387.0,415.0,1,143.94
12388.0,15.0,8,3901.11
12389.0,402.0,3,1433.33
12390.0,79.0,1,549.84
12391.0,21.0,6,2747.82
12392.0,591.0,1,234.75000000000003
12393.0,72.0,6,2376.75
12394.0,63.0,2,1272.48
12395.0,19.0,15,5046.92
12396.0,674.0,1,931.43
12397.0,35.0,2,2409.9
12398.0,45.0,1,1635.66
12399.0,119.0,7,1962.3
12400.0,414.0,1,205.25
12401.0,303.0,1,84.3
12402.0,323.0,6,1244.15
12403.0,49.0,2,1001.36
12404.0,682.0,1,63.24
12405.0,148.0,1,1710.39
12406.0,22.0,5,6072.21
12407.0,49.0,5,1708.12
12408.0,32.0,8,4279.64
12409.0,78.0,7,23090.47
12410.0,308.0,3,1001.46
12411.0,409.0,1,346.9
12412.0,74.0,6,2581.03
12413.0,66.0,4,935.5
12414.0,217.0,6,692.41
12415.0,24.0,28,143269.29
12416.0,656.0,1,202.56
12417.0,3.0,20,6708.21
12418.0,112.0,4,2016.95
12419.0,385.0,2,503.01
12420.0,63.0,1,600.39
12421.0,15.0,6,1092.83
12422.0,95.0,17,4119.35
12423.0,0.0,10,2612.19
12424.0,162.0,4,3289.78
12425.0,78.0,2,1680.81
12426.0,194.0,2,1311.41
12427.0,21.0,3,1011.87
12428.0,25.0,9,7877.2
12429.0,9.0,8,7435.51
12430.0,43.0,1,256.4
12431.0,35.0,27,10719.41
12432.0,42.0,5,5059.32
12433.0,0.0,10,20428.86
12434.0,84.0,3,1062.48
12435.0,79.0,6,13925.93
12436.0,99.0,1,509.01000000000005
12437.0,1.0,39,12394.85
12438.0,14.0,2,2906.85
12439.0,682.0,2,1104.48
12440.0,462.0,2,768.15
12441.0,366.0,1,347.1
12442.0,3.0,1,172.06
12443.0,732.0,1,485.31
12444.0,21.0,5,5005.46
12445.0,22.0,2,426.48
12446.0,57.0,1,1002.3100000000001
12447.0,243.0,1,476.49
12448.0,44.0,1,449.45
12449.0,22.0,6,4835.89
12450.0,156.0,5,666.95
12451.0,10.0,8,12546.53
12452.0,16.0,2,428.57
12453.0,134.0,1,707.09
12454.0,56.0,5,4292.71
12455.0,73.0,10,5879.95
12456.0,44.0,3,3153.89
12457.0,66.0,8,2472.31
12458.0,71.0,4,1777.49
12459.0,605.0,1,454.36
12460.0,456.0,1,326.65
12461.0,94.0,2,826.88
12462.0,18.0,2,1124.01
12463.0,53.0,4,1303.63
12464.0,10.0,8,1212.05
12465.0,17.0,2,733.89
12466.0,682.0,1,56.73
12468.0,187.0,5,3624.55
12469.0,522.0,2,3070.54
12470.0,689.0,1,211.95
12471.0,2.0,79,37948.61
12472.0,32.0,19,16956.69
12473.0,29.0,5,2848.23
12474.0,17.0,31,11966.45
12475.0,53.0,2,1149.64
12476.0,15.0,23,13715.62
12477.0,22.0,9,20173.64
12478.0,3.0,1,680.99
12479.0,11.0,1,477.3
12480.0,28.0,7,5435.1
12481.0,22.0,15,12217.03
12482.0,576.0,29,21893.53
12483.0,17.0,19,4846.87
12484.0,32.0,12,6303.85
12485.0,529.0,1,708.1
12486.0,431.0,1,1037.28
12487.0,730.0,1,259.79999999999995
12488.0,9.0,3,1298.66
12489.0,336.0,1,334.93
